gstreamer 1.22.8-1
gtk-doc 1.33.2-3
gtk-layer-shell 0.8.1-1
gtk-update-icon-cache 1:4.12.4-1
gtk3 1:3.24.39-1
gtk4 1:4.12.4-1
gtkmm3 3.24.8-1
gts 0.7.6.121130-2.1
guile 3.0.9-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gvfs 1.52.1-1
gvfs-mtp 1.52.1-1
gyp 20230914.a03d7413-1
gzip 1.13-2
harfbuzz 8.3.0-2
harfbuzz-icu 8.3.0-2
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.0.7-1
hunspell 1.7.2-1
hwdata 0.377-1
hwloc 2.9.1-1
hyphen 2.8.8-5
hyprland 0.33.1-2
iana-etc 20231117-1
icu 74.2-1
ijs 0.35-5
imagemagick 7.1.1.23-1
imake 1.0.9-2
imath 3.1.9-2.1
imlib2 1.12.1-1
inetutils 2.4-2
iproute2 6.6.0-2
iptables 1:1.8.10-1
iputils 20221126-2
iso-codes 4.15.0-1
jansson 2.14-2
jasper 4.1.1-1
java-environment-common 3-5
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-7
jdk-openjdk 21.u35-8
jemalloc 1:5.3.0-3
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
kactivities5 5.113.0-1
karchive5 5.113.0-1
kate 23.08.4-1
kauth5 5.113.0-1
kbd 2.6.4-1
kbookmarks5 5.113.0-1
kcmutils5 5.113.0-1
kcodecs5 5.113.0-1
kcompletion5 5.113.0-1
kconfig5 5.113.0-1
kconfigwidgets5 5.113.0-1
kcoreaddons5 5.113.0-1
kcrash5 5.113.0-1
kdbusaddons5 5.113.0-1
kdeclarative5 5.113.0-1
kdecoration 5.27.10-1
kded5 5.113.0-1
kdnssd5 5.113.0-1
kdsoap-qt5 2.1.1-2
kexec-tools 2.0.26-1
keyutils 1.6.3-2
kfilemetadata5 5.113.0-1
kglobalaccel5 5.113.0-1
kguiaddons5 5.113.0-1
ki18n5 5.113.0-1
kiconthemes5 5.113.0-1
kidletime5 5.113.0-1
kio-extras 23.08.4-1
kio5 5.113.0-1
kirigami2 5.113.0-1
kitemviews5 5.113.0-1
kitty 0.31.0-1
kitty-shell-integration 0.31.0-1
kitty-terminfo 0.31.0-1
kjobwidgets5 5.113.0-1
kmod 31-1
knewstuff5 5.113.0-1
knotifications5 5.113.0-1
kpackage5 5.113.0-1
kparts5 5.113.0-1
krb5 1.20.1-2
kservice5 5.113.0-1
ktexteditor5 5.113.0-1
ktextwidgets5 5.113.0-1
kuserfeedback5 1.3.0-4
kwallet5 5.113.0-1
kwidgetsaddons5 5.113.0-1
kwindowsystem5 5.113.0-1
kxmlgui5 5.113.0-1
l-smash 2.14.5-3
ladspa 1.17-4
lame 3.100-4
lapack 3.12.0-3
lcms2 2.16-1
ldb 2:2.8.0-1
